task,condition,model,n,metric,mean_steps,pct_hit_step_limit,total_cost
hotpotqa,standard,gpt-4o-mini,20,0.4,,,0.000716
hotpotqa,cot,gpt-4o-mini,20,0.55,,,0.00221
hotpotqa,act,gpt-4o-mini,20,0.5,4.2,10.0,0.016564
hotpotqa,react,gpt-4o-mini,20,0.55,4.45,25.0,0.022835
hotpotqa,cotsc,gpt-4o-mini,20,0.55,,,0.045712
